year,system_name,school_name,subgroup,n_count,n_ready_grad,pct_ready_grad
2018,Davidson County,Cane Ridge High School,White,97,34,35.1
2018,Davidson County,East Nashville Magnet High School,All Students,164,39,23.8
2018,Davidson County,East Nashville Magnet High School,Black or African American,143,31,21.7
2018,Davidson County,East Nashville Magnet High School,Black/Hispanic/Native American,148,32,21.6
2018,Davidson County,East Nashville Magnet High School,Economically Disadvantaged,79,13,16.5
2018,Davidson County,East Nashville Magnet High School,Hispanic,5,*,*
2018,Davidson County,East Nashville Magnet High School,Non-Economically Disadvantaged,85,26,30.6
2018,Davidson County,East Nashville Magnet High School,Non-English Learners,164,39,23.8
2018,Davidson County,East Nashville Magnet High School,Non-Students with Disabilities,150,37,24.7
2018,Davidson County,East Nashville Magnet High School,Students with Disabilities,14,2,14.3
2018,Davidson County,East Nashville Magnet High School,Super Subgroup,154,34,22.1
2018,Davidson County,East Nashville Magnet High School,White,16,7,43.8
2018,Davidson County,Glencliff High School,All Students,396,62,15.7
2018,Davidson County,Glencliff High School,American Indian or Alaska Native,1,*,*
2018,Davidson County,Glencliff High School,Asian,23,9,39.1
2018,Davidson County,Glencliff High School,Black or African American,72,8,11.1
2018,Davidson County,Glencliff High School,Black/Hispanic/Native American,285,35,12.3
2018,Davidson County,Glencliff High School,Economically Disadvantaged,229,35,15.3
2018,Davidson County,Glencliff High School,English Learners with Transitional 1-4,153,**,**
2018,Davidson County,Glencliff High School,Hispanic,212,27,12.7
2018,Davidson County,Glencliff High School,Non-Economically Disadvantaged,167,27,16.2
2018,Davidson County,Glencliff High School,Non-English Learners,243,58,23.9
2018,Davidson County,Glencliff High School,Non-Students with Disabilities,347,61,17.6
2018,Davidson County,Glencliff High School,Students with Disabilities,49,**,**
2018,Davidson County,Glencliff High School,Super Subgroup,365,49,13.4
2018,Davidson County,Glencliff High School,White,88,18,20.5
2018,Davidson County,Harris-Hillman Special Education,All Students,11,**,**
2018,Davidson County,Harris-Hillman Special Education,Black or African American,2,*,*
2018,Davidson County,Harris-Hillman Special Education,Black/Hispanic/Native American,4,*,*
2018,Davidson County,Harris-Hillman Special Education,Economically Disadvantaged,4,*,*
2018,Davidson County,Harris-Hillman Special Education,English Learners with Transitional 1-4,2,*,*
2018,Davidson County,Harris-Hillman Special Education,Hispanic,2,*,*
2018,Davidson County,Harris-Hillman Special Education,Non-Economically Disadvantaged,7,*,*
2018,Davidson County,Harris-Hillman Special Education,Non-English Learners,9,*,*
2018,Davidson County,Harris-Hillman Special Education,Students with Disabilities,11,**,**
2018,Davidson County,Harris-Hillman Special Education,Super Subgroup,11,**,**
2018,Davidson County,Harris-Hillman Special Education,White,7,*,*
2018,Davidson County,Hillsboro High,All Students,268,117,43.7
2018,Davidson County,Hillsboro High,Asian,8,*,*
2018,Davidson County,Hillsboro High,Black or African American,124,30,24.2
2018,Davidson County,Hillsboro High,Black/Hispanic/Native American,138,35,25.4
2018,Davidson County,Hillsboro High,Economically Disadvantaged,100,21,21
2018,Davidson County,Hillsboro High,English Learners with Transitional 1-4,7,*,*
2018,Davidson County,Hillsboro High,Hispanic,14,5,35.7
2018,Davidson County,Hillsboro High,Non-Economically Disadvantaged,168,96,57.1
2018,Davidson County,Hillsboro High,Non-English Learners,261,116,44.4
2018,Davidson County,Hillsboro High,Non-Students with Disabilities,235,111,47.2
2018,Davidson County,Hillsboro High,Students with Disabilities,33,6,18.2
2018,Davidson County,Hillsboro High,Super Subgroup,170,47,27.6
2018,Davidson County,Hillsboro High,White,122,79,64.8
2018,Davidson County,Hillwood High,All Students,255,109,42.7
2018,Davidson County,Hillwood High,American Indian or Alaska Native,1,*,*
2018,Davidson County,Hillwood High,Asian,26,17,65.4
2018,Davidson County,Hillwood High,Black or African American,81,22,27.2
2018,Davidson County,Hillwood High,Black/Hispanic/Native American,113,31,27.4
2018,Davidson County,Hillwood High,Economically Disadvantaged,118,37,31.4
2018,Davidson County,Hillwood High,English Learners with Transitional 1-4,25,5,20
2018,Davidson County,Hillwood High,Hispanic,31,8,25.8
2018,Davidson County,Hillwood High,Non-Economically Disadvantaged,137,72,52.6
2018,Davidson County,Hillwood High,Non-English Learners,230,104,45.2
2018,Davidson County,Hillwood High,Non-Students with Disabilities,222,107,48.2
2018,Davidson County,Hillwood High,Students with Disabilities,33,2,6.1
2018,Davidson County,Hillwood High,Super Subgroup,178,58,32.6
2018,Davidson County,Hillwood High,White,116,61,52.6
2018,Davidson County,Hume - Fogg High,All Students,213,**,**
2018,Davidson County,Hume - Fogg High,Asian,22,**,**
2018,Davidson County,Hume - Fogg High,Black or African American,52,**,**
2018,Davidson County,Hume - Fogg High,Black/Hispanic/Native American,68,**,**
2018,Davidson County,Hume - Fogg High,Economically Disadvantaged,25,**,**
2018,Davidson County,Hume - Fogg High,Hispanic,16,**,**
2018,Davidson County,Hume - Fogg High,Non-Economically Disadvantaged,188,**,**
2018,Davidson County,Hume - Fogg High,Non-English Learners,213,**,**
2018,Davidson County,Hume - Fogg High,Non-Students with Disabilities,212,**,**
2018,Davidson County,Hume - Fogg High,Students with Disabilities,1,*,*
2018,Davidson County,Hume - Fogg High,Super Subgroup,74,**,**
2018,Davidson County,Hume - Fogg High,White,123,**,**
2018,Davidson County,Hunters Lane High,All Students,456,80,17.5
2018,Davidson County,Hunters Lane High,American Indian or Alaska Native,1,*,*
2018,Davidson County,Hunters Lane High,Asian,4,*,*
2018,Davidson County,Hunters Lane High,Black or African American,234,37,15.8
2018,Davidson County,Hunters Lane High,Black/Hispanic/Native American,372,61,16.4
2018,Davidson County,Hunters Lane High,Economically Disadvantaged,304,42,13.8
2018,Davidson County,Hunters Lane High,English Learners with Transitional 1-4,75,**,**
2018,Davidson County,Hunters Lane High,Hispanic,137,24,17.5
2018,Davidson County,Hunters Lane High,Non-Economically Disadvantaged,152,38,25
2018,Davidson County,Hunters Lane High,Non-English Learners,381,79,20.7
2018,Davidson County,Hunters Lane High,Non-Students with Disabilities,399,80,20.1
2018,Davidson County,Hunters Lane High,Students with Disabilities,57,**,**
2018,Davidson County,Hunters Lane High,Super Subgroup,430,69,16
2018,Davidson County,Hunters Lane High,White,80,16,20
2018,Davidson County,John Overton High,All Students,524,155,29.6
2018,Davidson County,John Overton High,American Indian or Alaska Native,2,*,*
2018,Davidson County,John Overton High,Asian,64,18,28.1
2018,Davidson County,John Overton High,Black or African American,130,40,30.8
2018,Davidson County,John Overton High,Black/Hispanic/Native American,287,59,20.6
2018,Davidson County,John Overton High,Economically Disadvantaged,302,61,20.2
2018,Davidson County,John Overton High,English Learners with Transitional 1-4,157,9,5.7
2018,Davidson County,John Overton High,Hispanic,155,18,11.6
2018,Davidson County,John Overton High,Non-Economically Disadvantaged,222,94,42.3
2018,Davidson County,John Overton High,Non-English Learners,367,146,39.8
2018,Davidson County,John Overton High,Non-Students with Disabilities,478,153,32
2018,Davidson County,John Overton High,Students with Disabilities,46,**,**
2018,Davidson County,John Overton High,Super Subgroup,439,95,21.6
2018,Davidson County,John Overton High,White,173,78,45.1
2018,Davidson County,Middle College High,All Students,38,25,65.8
2018,Davidson County,Middle College High,Black or African American,14,5,35.7
2018,Davidson County,Middle College High,Black/Hispanic/Native American,15,6,40
2018,Davidson County,Middle College High,Economically Disadvantaged,18,11,61.1
2018,Davidson County,Middle College High,English Learners with Transitional 1-4,2,*,*
2018,Davidson County,Middle College High,Hispanic,1,*,*
2018,Davidson County,Middle College High,Non-Economically Disadvantaged,20,14,70
2018,Davidson County,Middle College High,Non-English Learners,36,24,66.7
2018,Davidson County,Middle College High,Non-Students with Disabilities,35,22,62.9
2018,Davidson County,Middle College High,Students with Disabilities,3,*,*
2018,Davidson County,Middle College High,Super Subgroup,24,14,58.3
2018,Davidson County,Middle College High,White,23,19,82.6
2018,Davidson County,Cora Howe School,All Students,17,**,**
2018,Davidson County,Cora Howe School,Black or African American,7,*,*
2018,Davidson County,Cora Howe School,Black/Hispanic/Native American,8,*,*
2018,Davidson County,Cora Howe School,Economically Disadvantaged,10,**,**
2018,Davidson County,Cora Howe School,Hispanic,1,*,*
2018,Davidson County,Cora Howe School,Non-Economically Disadvantaged,7,*,*
2018,Davidson County,Cora Howe School,Non-English Learners,17,**,**
2018,Davidson County,Cora Howe School,Non-Students with Disabilities,1,*,*
2018,Davidson County,Cora Howe School,Students with Disabilities,16,**,**
2018,Davidson County,Cora Howe School,Super Subgroup,17,**,**
2018,Davidson County,Cora Howe School,White,9,*,*
2018,Davidson County,Maplewood High,All Students,239,18,7.5
2018,Davidson County,Maplewood High,Asian,4,*,*
2018,Davidson County,Maplewood High,Black or African American,175,12,6.9
2018,Davidson County,Maplewood High,Black/Hispanic/Native American,222,16,7.2
2018,Davidson County,Maplewood High,Economically Disadvantaged,189,13,6.9
2018,Davidson County,Maplewood High,English Learners with Transitional 1-4,36,**,**
2018,Davidson County,Maplewood High,Hispanic,47,4,8.5
2018,Davidson County,Maplewood High,Non-Economically Disadvantaged,50,5,10
2018,Davidson County,Maplewood High,Non-English Learners,203,17,8.4
2018,Davidson County,Maplewood High,Non-Students with Disabilities,206,18,8.7
2018,Davidson County,Maplewood High,Students with Disabilities,33,**,**
2018,Davidson County,Maplewood High,Super Subgroup,233,16,6.9
2018,Davidson County,Maplewood High,White,13,2,15.4
2018,Davidson County,Martin Luther King Jr School,All Students,241,**,**
2018,Davidson County,Martin Luther King Jr School,American Indian or Alaska Native,1,*,*
2018,Davidson County,Martin Luther King Jr School,Asian,17,**,**
2018,Davidson County,Martin Luther King Jr School,Black or African American,102,**,**
2018,Davidson County,Martin Luther King Jr School,Black/Hispanic/Native American,119,**,**
2018,Davidson County,Martin Luther King Jr School,Economically Disadvantaged,36,**,**
2018,Davidson County,Martin Luther King Jr School,Hispanic,16,**,**
2018,Davidson County,Martin Luther King Jr School,Native Hawaiian or Other Pacific Islander,1,*,*
2018,Davidson County,Martin Luther King Jr School,Non-Economically Disadvantaged,205,**,**
2018,Davidson County,Martin Luther King Jr School,Non-English Learners,241,**,**
2018,Davidson County,Martin Luther King Jr School,Non-Students with Disabilities,237,**,**
2018,Davidson County,Martin Luther King Jr School,Students with Disabilities,4,*,*
2018,Davidson County,Martin Luther King Jr School,Super Subgroup,131,**,**
2018,Davidson County,Martin Luther King Jr School,White,104,**,**
2018,Davidson County,McGavock High,All Students,524,164,31.3
2018,Davidson County,McGavock High,American Indian or Alaska Native,1,*,*
2018,Davidson County,McGavock High,Asian,22,11,50
2018,Davidson County,McGavock High,Black or African American,205,32,15.6
2018,Davidson County,McGavock High,Black/Hispanic/Native American,279,59,21.1
2018,Davidson County,McGavock High,Economically Disadvantaged,258,56,21.7
2018,Davidson County,McGavock High,English Learners with Transitional 1-4,32,3,9.4
2018,Davidson County,McGavock High,Hispanic,73,27,37
2018,Davidson County,McGavock High,Non-Economically Disadvantaged,266,108,40.6
2018,Davidson County,McGavock High,Non-English Learners,492,161,32.7
2018,Davidson County,McGavock High,Non-Students with Disabilities,449,163,36.3
2018,Davidson County,McGavock High,Students with Disabilities,75,**,**
2018,Davidson County,McGavock High,Super Subgroup,385,88,22.9
2018,Davidson County,McGavock High,White,223,94,42.2
2018,Davidson County,Nashville School Of The Arts,All Students,136,73,53.7
2018,Davidson County,Nashville School Of The Arts,Asian,6,*,*
2018,Davidson County,Nashville School Of The Arts,Black or African American,48,13,27.1
2018,Davidson County,Nashville School Of The Arts,Black/Hispanic/Native American,58,19,32.8
2018,Davidson County,Nashville School Of The Arts,Economically Disadvantaged,34,11,32.4
2018,Davidson County,Nashville School Of The Arts,Hispanic,10,6,60
2018,Davidson County,Nashville School Of The Arts,Non-Economically Disadvantaged,102,62,60.8
2018,Davidson County,Nashville School Of The Arts,Non-English Learners,136,73,53.7
2018,Davidson County,Nashville School Of The Arts,Non-Students with Disabilities,126,72,57.1
2018,Davidson County,Nashville School Of The Arts,Students with Disabilities,10,1,10
2018,Davidson County,Nashville School Of The Arts,Super Subgroup,77,28,36.4
2018,Davidson County,Nashville School Of The Arts,White,72,49,68.1
2018,Davidson County,Pearl-Cohn High,All Students,187,17,9.1
2018,Davidson County,Pearl-Cohn High,Black or African American,170,15,8.8
2018,Davidson County,Pearl-Cohn High,Black/Hispanic/Native American,181,16,8.8
2018,Davidson County,Pearl-Cohn High,Economically Disadvantaged,149,12,8.1
2018,Davidson County,Pearl-Cohn High,English Learners with Transitional 1-4,11,1,9.1
2018,Davidson County,Pearl-Cohn High,Hispanic,11,1,9.1
2018,Davidson County,Pearl-Cohn High,Non-Economically Disadvantaged,38,5,13.2
2018,Davidson County,Pearl-Cohn High,Non-English Learners,176,16,9.1
2018,Davidson County,Pearl-Cohn High,Non-Students with Disabilities,136,17,12.5
2018,Davidson County,Pearl-Cohn High,Students with Disabilities,51,**,**
2018,Davidson County,Pearl-Cohn High,Super Subgroup,185,17,9.2
2018,Davidson County,Pearl-Cohn High,White,6,*,*
2018,Davidson County,The Academy at Opry Mills,All Students,101,12,11.9
2018,Davidson County,The Academy at Opry Mills,Asian,1,*,*
2018,Davidson County,The Academy at Opry Mills,Black or African American,35,2,5.7
2018,Davidson County,The Academy at Opry Mills,Black/Hispanic/Native American,56,3,5.4
2018,Davidson County,The Academy at Opry Mills,Economically Disadvantaged,63,**,**
2018,Davidson County,The Academy at Opry Mills,English Learners with Transitional 1-4,7,*,*
2018,Davidson County,The Academy at Opry Mills,Hispanic,21,**,**
2018,Davidson County,The Academy at Opry Mills,Non-Economically Disadvantaged,38,10,26.3
2018,Davidson County,The Academy at Opry Mills,Non-English Learners,94,12,12.8
2018,Davidson County,The Academy at Opry Mills,Non-Students with Disabilities,92,12,13
2018,Davidson County,The Academy at Opry Mills,Students with Disabilities,9,*,*
2018,Davidson County,The Academy at Opry Mills,Super Subgroup,81,**,**
2018,Davidson County,The Academy at Opry Mills,White,44,9,20.5
2018,Davidson County,The Academy at Old Cockrill,All Students,132,18,13.6
2018,Davidson County,The Academy at Old Cockrill,Asian,3,*,*
2018,Davidson County,The Academy at Old Cockrill,Black or African American,76,**,**
2018,Davidson County,The Academy at Old Cockrill,Black/Hispanic/Native American,88,**,**
2018,Davidson County,The Academy at Old Cockrill,Economically Disadvantaged,96,6,6.3
2018,Davidson County,The Academy at Old Cockrill,English Learners with Transitional 1-4,3,*,*
2018,Davidson County,The Academy at Old Cockrill,Hispanic,12,**,**
2018,Davidson County,The Academy at Old Cockrill,Non-Economically Disadvantaged,36,12,33.3
2018,Davidson County,The Academy at Old Cockrill,Non-English Learners,129,18,14
2018,Davidson County,The Academy at Old Cockrill,Non-Students with Disabilities,113,18,15.9
2018,Davidson County,The Academy at Old Cockrill,Students with Disabilities,19,**,**
2018,Davidson County,The Academy at Old Cockrill,Super Subgroup,111,8,7.2
2018,Davidson County,The Academy at Old Cockrill,White,41,15,36.6
2018,Davidson County,Stratford STEM Magnet School,All Students,205,24,11.7
2018,Davidson County,Stratford STEM Magnet School,American Indian or Alaska Native,1,*,*
2018,Davidson County,Stratford STEM Magnet School,Asian,5,*,*
2018,Davidson County,Stratford STEM Magnet School,Black or African American,153,11,7.2
2018,Davidson County,Stratford STEM Magnet School,Black/Hispanic/Native American,167,14,8.4
2018,Davidson County,Stratford STEM Magnet School,Economically Disadvantaged,160,14,8.8
2018,Davidson County,Stratford STEM Magnet School,English Learners with Transitional 1-4,18,**,**
2018,Davidson County,Stratford STEM Magnet School,Hispanic,13,2,15.4
2018,Davidson County,Stratford STEM Magnet School,Non-Economically Disadvantaged,45,10,22.2
2018,Davidson County,Stratford STEM Magnet School,Non-English Learners,187,24,12.8
2018,Davidson County,Stratford STEM Magnet School,Non-Students with Disabilities,174,23,13.2
2018,Davidson County,Stratford STEM Magnet School,Students with Disabilities,31,**,**
2018,Davidson County,Stratford STEM Magnet School,Super Subgroup,191,20,10.5
2018,Davidson County,Stratford STEM Magnet School,White,33,7,21.2
2018,Davidson County,Whites Creek High,All Students,174,42,24.1
2018,Davidson County,Whites Creek High,Asian,2,*,*
2018,Davidson County,Whites Creek High,Black or African American,136,31,22.8
2018,Davidson County,Whites Creek High,Black/Hispanic/Native American,148,34,23
2018,Davidson County,Whites Creek High,Economically Disadvantaged,107,20,18.7
2018,Davidson County,Whites Creek High,English Learners with Transitional 1-4,5,*,*
2018,Davidson County,Whites Creek High,Hispanic,12,3,25
2018,Davidson County,Whites Creek High,Non-Economically Disadvantaged,67,22,32.8
2018,Davidson County,Whites Creek High,Non-English Learners,169,42,24.9
2018,Davidson County,Whites Creek High,Non-Students with Disabilities,136,42,30.9
2018,Davidson County,Whites Creek High,Students with Disabilities,38,**,**
2018,Davidson County,Whites Creek High,Super Subgroup,165,37,22.4
2018,Davidson County,Whites Creek High,White,24,7,29.2
2018,Davidson County,The Academy at Hickory Hollow,All Students,153,**,**
2018,Davidson County,The Academy at Hickory Hollow,Asian,4,*,*
2018,Davidson County,The Academy at Hickory Hollow,Black or African American,48,**,**
2018,Davidson County,The Academy at Hickory Hollow,Black/Hispanic/Native American,118,**,**
2018,Davidson County,The Academy at Hickory Hollow,Economically Disadvantaged,90,**,**
2018,Davidson County,The Academy at Hickory Hollow,English Learners with Transitional 1-4,39,**,**
2018,Davidson County,The Academy at Hickory Hollow,Hispanic,70,4,5.7
2018,Davidson County,The Academy at Hickory Hollow,Native Hawaiian or Other Pacific Islander,1,*,*
2018,Davidson County,The Academy at Hickory Hollow,Non-Economically Disadvantaged,63,4,6.3
2018,Davidson County,The Academy at Hickory Hollow,Non-English Learners,114,6,5.3
2018,Davidson County,The Academy at Hickory Hollow,Non-Students with Disabilities,142,**,**
2018,Davidson County,The Academy at Hickory Hollow,Students with Disabilities,11,**,**
2018,Davidson County,The Academy at Hickory Hollow,Super Subgroup,142,**,**
2018,Davidson County,The Academy at Hickory Hollow,White,30,2,6.7
2018,Davidson County,Johnson Alternative Learning Center,All Students,10,**,**
2018,Davidson County,Johnson Alternative Learning Center,Black or African American,8,*,*
2018,Davidson County,Johnson Alternative Learning Center,Black/Hispanic/Native American,9,*,*
2018,Davidson County,Johnson Alternative Learning Center,Economically Disadvantaged,9,*,*
2018,Davidson County,Johnson Alternative Learning Center,English Learners with Transitional 1-4,2,*,*
2018,Davidson County,Johnson Alternative Learning Center,Hispanic,1,*,*
2018,Davidson County,Johnson Alternative Learning Center,Non-Economically Disadvantaged,1,*,*
2018,Davidson County,Johnson Alternative Learning Center,Non-English Learners,8,*,*
2018,Davidson County,Johnson Alternative Learning Center,Non-Students with Disabilities,7,*,*
2018,Davidson County,Johnson Alternative Learning Center,Students with Disabilities,3,*,*
2018,Davidson County,Johnson Alternative Learning Center,Super Subgroup,10,**,**
2018,Davidson County,Johnson Alternative Learning Center,White,1,*,*
2018,Davidson County,The Cohn Learning Center,All Students,70,**,**
2018,Davidson County,The Cohn Learning Center,Asian,1,*,*
2018,Davidson County,The Cohn Learning Center,Black or African American,47,**,**
2018,Davidson County,The Cohn Learning Center,Black/Hispanic/Native American,55,**,**
2018,Davidson County,The Cohn Learning Center,Economically Disadvantaged,62,**,**
2018,Davidson County,The Cohn Learning Center,Hispanic,8,*,*
2018,Davidson County,The Cohn Learning Center,Non-Economically Disadvantaged,8,*,*
2018,Davidson County,The Cohn Learning Center,Non-English Learners,70,**,**
2018,Davidson County,The Cohn Learning Center,Non-Students with Disabilities,59,**,**
2018,Davidson County,The Cohn Learning Center,Students with Disabilities,11,**,**
2018,Davidson County,The Cohn Learning Center,Super Subgroup,68,**,**
2018,Davidson County,The Cohn Learning Center,White,14,**,**
2018,Davidson County,Lead Academy,All Students,49,23,46.9
2018,Davidson County,Lead Academy,Asian,1,*,*
2018,Davidson County,Lead Academy,Black or African American,41,17,41.5
2018,Davidson County,Lead Academy,Black/Hispanic/Native American,43,19,44.2
2018,Davidson County,Lead Academy,Economically Disadvantaged,27,9,33.3
2018,Davidson County,Lead Academy,English Learners with Transitional 1-4,3,*,*
2018,Davidson County,Lead Academy,Hispanic,2,*,*
2018,Davidson County,Lead Academy,Non-Economically Disadvantaged,22,14,63.6
2018,Davidson County,Lead Academy,Non-English Learners,46,22,47.8
2018,Davidson County,Lead Academy,Non-Students with Disabilities,41,21,51.2
2018,Davidson County,Lead Academy,Students with Disabilities,8,*,*
2018,Davidson County,Lead Academy,Super Subgroup,46,21,45.7
2018,Davidson County,Lead Academy,White,5,*,*
2018,Davidson County,KIPP Nashville Collegiate High School,All Students,65,39,60
2018,Davidson County,KIPP Nashville Collegiate High School,Black or African American,42,22,52.4
2018,Davidson County,KIPP Nashville Collegiate High School,Black/Hispanic/Native American,61,37,60.7
2018,Davidson County,KIPP Nashville Collegiate High School,Economically Disadvantaged,40,21,52.5
2018,Davidson County,KIPP Nashville Collegiate High School,English Learners with Transitional 1-4,4,*,*
2018,Davidson County,KIPP Nashville Collegiate High School,Hispanic,19,15,78.9
2018,Davidson County,KIPP Nashville Collegiate High School,Non-Economically Disadvantaged,25,18,72
2018,Davidson County,KIPP Nashville Collegiate High School,Non-English Learners,61,38,62.3
2018,Davidson County,KIPP Nashville Collegiate High School,Non-Students with Disabilities,59,39,66.1
2018,Davidson County,KIPP Nashville Collegiate High School,Students with Disabilities,6,*,*
2018,Davidson County,KIPP Nashville Collegiate High School,Super Subgroup,64,39,60.9
2018,Davidson County,KIPP Nashville Collegiate High School,White,4,*,*
2018,Davidson County,STEM Prep High School,All Students,2,*,*
2018,Davidson County,STEM Prep High School,Black/Hispanic/Native American,2,*,*
2018,Davidson County,STEM Prep High School,Economically Disadvantaged,2,*,*
2018,Davidson County,STEM Prep High School,English Learners with Transitional 1-4,2,*,*
2018,Davidson County,STEM Prep High School,Hispanic,2,*,*
2018,Davidson County,STEM Prep High School,Non-Students with Disabilities,1,*,*
2018,Davidson County,STEM Prep High School,Students with Disabilities,1,*,*
2018,Davidson County,STEM Prep High School,Super Subgroup,2,*,*
2018,Davidson County,RePublic High School,All Students,4,*,*
2018,Davidson County,RePublic High School,Black or African American,2,*,*
2018,Davidson County,RePublic High School,Black/Hispanic/Native American,4,*,*
2018,Davidson County,RePublic High School,Economically Disadvantaged,2,*,*
2018,Davidson County,RePublic High School,English Learners with Transitional 1-4,1,*,*
2018,Davidson County,RePublic High School,Hispanic,2,*,*
2018,Davidson County,RePublic High School,Non-Economically Disadvantaged,2,*,*
2018,Davidson County,RePublic High School,Non-English Learners,3,*,*
2018,Davidson County,RePublic High School,Non-Students with Disabilities,4,*,*
2018,Davidson County,RePublic High School,Super Subgroup,4,*,*
2019,Davidson County,MNPS Virtual School,All Students,18,8,44.4
2019,Davidson County,MNPS Virtual School,Black or African American,4,*,*
2019,Davidson County,MNPS Virtual School,Black/Hispanic/Native American,4,*,*
2019,Davidson County,MNPS Virtual School,Economically Disadvantaged,7,*,*
2019,Davidson County,MNPS Virtual School,Non-Economically Disadvantaged,11,6,54.5
2019,Davidson County,MNPS Virtual School,Non-English Learners,18,8,44.4
2019,Davidson County,MNPS Virtual School,Non-Students with Disabilities,18,8,44.4
2019,Davidson County,MNPS Virtual School,Super Subgroup,9,*,*
2019,Davidson County,MNPS Virtual School,White,14,8,57.1
2019,Davidson County,Antioch High School,All Students,497,85,17.1
2019,Davidson County,Antioch High School,Asian,25,6,24
2019,Davidson County,Antioch High School,Black or African American,201,24,11.9
2019,Davidson County,Antioch High School,Black/Hispanic/Native American,354,44,12.4
2019,Davidson County,Antioch High School,Economically Disadvantaged,310,38,12.3
2019,Davidson County,Antioch High School,English Learners with Transitional 1-4,117,**,**
2019,Davidson County,Antioch High School,Hispanic,153,20,13.1
2019,Davidson County,Antioch High School,Non-Economically Disadvantaged,187,47,25.1
2019,Davidson County,Antioch High School,Non-English Learners,380,81,21.3
2019,Davidson County,Antioch High School,Non-Students with Disabilities,412,84,20.4
2019,Davidson County,Antioch High School,Students with Disabilities,85,**,**
2019,Davidson County,Antioch High School,Super Subgroup,456,64,14
2019,Davidson County,Antioch High School,White,118,35,29.7
2019,Davidson County,Nashville Big Picture High School,All Students,26,10,38.5
2019,Davidson County,Nashville Big Picture High School,Black or African American,12,2,16.7
2019,Davidson County,Nashville Big Picture High School,Black/Hispanic/Native American,16,2,12.5
2019,Davidson County,Nashville Big Picture High School,Economically Disadvantaged,14,4,28.6
